"PS_manual_aug_str,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar",J_Total_flux_kg_m_2h_1
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|39.0|ipa|23.5|15.0|100|5.0|,0.0545
c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.CC(C)O|82.3|39.0|ipa|23.5|15.0|100|5.0|,0.0545
C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.CC(C)O|82.3|39.0|ipa|23.5|15.0|100|5.0|,0.0545
c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.CC(C)O|82.3|39.0|ipa|23.5|15.0|100|5.0|,0.0545
O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CC(C)O|82.3|39.0|ipa|23.5|15.0|100|5.0|,0.0545
C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.CC(C)O|82.3|39.0|ipa|23.5|15.0|100|5.0|,0.0545
O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.CC(C)O|82.3|39.0|ipa|23.5|15.0|100|5.0|,0.0545
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|28.0|ipa|23.5|15.0|60|5.0|,0.0273
c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.CC(C)O|82.3|28.0|ipa|23.5|15.0|60|5.0|,0.0273
C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.CC(C)O|82.3|28.0|ipa|23.5|15.0|60|5.0|,0.0273
c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.CC(C)O|82.3|28.0|ipa|23.5|15.0|60|5.0|,0.0273
O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CC(C)O|82.3|28.0|ipa|23.5|15.0|60|5.0|,0.0273
C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.CC(C)O|82.3|28.0|ipa|23.5|15.0|60|5.0|,0.0273
O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.CC(C)O|82.3|28.0|ipa|23.5|15.0|60|5.0|,0.0273
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|28.0|ipa|23.5|15.0|100|5.0|,0.0699
c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.CC(C)O|82.3|28.0|ipa|23.5|15.0|100|5.0|,0.0699
