"Polymer_manual_aug_str,T_K,P_Mpa",exp_CO2_sol_g_g
C.O.C=O.C.C.C=O.C.CO.C.C.C|393.15|12.606|,0.1146
C.C.O.C=O.C.C.C=O.C.CO.C.C|393.15|12.606|,0.1146
C.C.C.O.C=O.C.C.C=O.C.CO.C|393.15|12.606|,0.1146
C.C.C.C.O.C=O.C.C.C=O.C.CO|393.15|12.606|,0.1146
CO.C.C.C.C.O.C=O.C.C.C=O.C|393.15|16.544|,0.1481
C.CO.C.C.C.C.O.C=O.C.C.C=O|393.15|16.544|,0.1481
C=O.C.CO.C.C.C.C.O.C=O.C.C|393.15|16.544|,0.1481
C.C=O.C.CO.C.C.C.C.O.C=O.C|393.15|16.544|,0.1481
C.C.C=O.C.CO.C.C.C.C.O.C=O|393.15|16.544|,0.1481
C=O.C.C.C=O.C.CO.C.C.C.C.O|393.15|16.544|,0.1481
O.C=O.C.C.C=O.C.CO.C.C.C.C|393.15|16.544|,0.1481
C.O.C=O.C.C.C=O.C.CO.C.C.C|393.15|16.544|,0.1481
C.C.O.C=O.C.C.C=O.C.CO.C.C|393.15|16.544|,0.1481
C.C.C.O.C=O.C.C.C=O.C.CO.C|393.15|16.544|,0.1481
C.C.C.C.O.C=O.C.C.C=O.C.CO|393.15|16.544|,0.1481
CO.C.C.C.C.O.C=O.C.C.C=O.C|393.15|19.987|,0.1761
C.CO.C.C.C.C.O.C=O.C.C.C=O|393.15|19.987|,0.1761
C=O.C.CO.C.C.C.C.O.C=O.C.C|393.15|19.987|,0.1761
C.C=O.C.CO.C.C.C.C.O.C=O.C|393.15|19.987|,0.1761
C.C.C=O.C.CO.C.C.C.C.O.C=O|393.15|19.987|,0.1761
C=O.C.C.C=O.C.CO.C.C.C.C.O|393.15|19.987|,0.1761
O.C=O.C.C.C=O.C.CO.C.C.C.C|393.15|19.987|,0.1761
C.O.C=O.C.C.C=O.C.CO.C.C.C|393.15|19.987|,0.1761
C.C.O.C=O.C.C.C=O.C.CO.C.C|393.15|19.987|,0.1761
C.C.C.O.C=O.C.C.C=O.C.CO.C|393.15|19.987|,0.1761
C.C.C.C.O.C=O.C.C.C=O.C.CO|393.15|19.987|,0.1761
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|2.221|,0.01501
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|2.221|,0.01501
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|2.221|,0.01501
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|2.221|,0.01501
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|2.221|,0.01501
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|2.221|,0.01501
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|2.221|,0.01501
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|2.221|,0.01501
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|2.221|,0.01501
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|2.221|,0.01501
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|2.221|,0.01501
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|2.935|,0.01993
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|2.935|,0.01993
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|2.935|,0.01993
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|2.935|,0.01993
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|2.935|,0.01993
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|2.935|,0.01993
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|2.935|,0.01993
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|2.935|,0.01993
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|2.935|,0.01993
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|2.935|,0.01993
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|2.935|,0.01993
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|4.705|,0.03216
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|4.705|,0.03216
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|4.705|,0.03216
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|4.705|,0.03216
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|4.705|,0.03216
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|4.705|,0.03216
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|4.705|,0.03216
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|4.705|,0.03216
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|4.705|,0.03216
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|4.705|,0.03216
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|4.705|,0.03216
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|6.035|,0.04145
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|6.035|,0.04145
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|6.035|,0.04145
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|6.035|,0.04145
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|6.035|,0.04145
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|6.035|,0.04145
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|6.035|,0.04145
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|6.035|,0.04145
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|6.035|,0.04145
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|6.035|,0.04145
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|6.035|,0.04145
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|8.696|,0.06041
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|8.696|,0.06041
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|8.696|,0.06041
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|8.696|,0.06041
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|8.696|,0.06041
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|8.696|,0.06041
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|8.696|,0.06041
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|8.696|,0.06041
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|8.696|,0.06041
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|8.696|,0.06041
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|8.696|,0.06041
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|12.036|,0.08309
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|12.036|,0.08309
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|12.036|,0.08309
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|12.036|,0.08309
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|12.036|,0.08309
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|12.036|,0.08309
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|12.036|,0.08309
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|12.036|,0.08309
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|12.036|,0.08309
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|12.036|,0.08309
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|12.036|,0.08309
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|12.572|,0.08733
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|12.572|,0.08733
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|12.572|,0.08733
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|12.572|,0.08733
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|12.572|,0.08733
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|12.572|,0.08733
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|12.572|,0.08733
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|12.572|,0.08733
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|12.572|,0.08733
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|12.572|,0.08733
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|12.572|,0.08733
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|16.541|,0.1139
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|16.541|,0.1139
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|16.541|,0.1139
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|16.541|,0.1139
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|16.541|,0.1139
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|16.541|,0.1139
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|16.541|,0.1139
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|16.541|,0.1139
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|16.541|,0.1139
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|16.541|,0.1139
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|16.541|,0.1139
CO.C.C.C.C.O.C=O.C.C.C=O.C|423.15|20.095|,0.1355
C.CO.C.C.C.C.O.C=O.C.C.C=O|423.15|20.095|,0.1355
C=O.C.CO.C.C.C.C.O.C=O.C.C|423.15|20.095|,0.1355
C.C=O.C.CO.C.C.C.C.O.C=O.C|423.15|20.095|,0.1355
C.C.C=O.C.CO.C.C.C.C.O.C=O|423.15|20.095|,0.1355
C=O.C.C.C=O.C.CO.C.C.C.C.O|423.15|20.095|,0.1355
O.C=O.C.C.C=O.C.CO.C.C.C.C|423.15|20.095|,0.1355
C.O.C=O.C.C.C=O.C.CO.C.C.C|423.15|20.095|,0.1355
C.C.O.C=O.C.C.C=O.C.CO.C.C|423.15|20.095|,0.1355
C.C.C.O.C=O.C.C.C=O.C.CO.C|423.15|20.095|,0.1355
C.C.C.C.O.C=O.C.C.C=O.C.CO|423.15|20.095|,0.1355
CO.C.C.C.C.O.C=O.C.C.C=O.C|453.15|2.133|,0.01192
