"Augmented_SMILES,T_K,P_Mpa",exp_CO2_sol_g_g
O(C(=O)CCCCC(=O)OCCCCOC(=O)CCC(=O)C)CCCCOC|453.15|4.126|,0.02357
C(COC(=O)CCCCC(=O)OCCCCOC)CCOC(=O)CCC(=O)C|453.15|4.126|,0.02357
C(OC(=O)CCCCC(OCCCCOC(=O)CCC(=O)C)=O)CCCOC|453.15|4.126|,0.02357
C(CCCOC)OC(CCCCC(=O)OCCCCOC(CCC(C)=O)=O)=O|453.15|4.698|,0.02689
C(CCOC)COC(CCCCC(=O)OCCCCOC(=O)CCC(=O)C)=O|453.15|4.698|,0.02689
O(CCCCOC(CCCCC(OCCCCOC(=O)CCC(=O)C)=O)=O)C|453.15|4.698|,0.02689
C(CCOC(CCCCC(=O)OCCCCOC(=O)CCC(=O)C)=O)COC|453.15|4.698|,0.02689
C(CCCOC(CCC(=O)C)=O)OC(=O)CCCCC(OCCCCOC)=O|453.15|4.698|,0.02689
O=C(OCCCCOC(CCC(C)=O)=O)CCCCC(=O)OCCCCOC|453.15|6.07|,0.03485
C(CCOC)COC(CCCCC(OCCCCOC(=O)CCC(C)=O)=O)=O|453.15|6.07|,0.03485
O=C(OCCCCOC(=O)CCC(=O)C)CCCCC(OCCCCOC)=O|453.15|6.07|,0.03485
C(OC)CCCOC(=O)CCCCC(OCCCCOC(=O)CCC(C)=O)=O|453.15|6.07|,0.03485
O=C(C)CCC(=O)OCCCCOC(=O)CCCCC(OCCCCOC)=O|453.15|6.07|,0.03485
C(C)(CCC(OCCCCOC(CCCCC(OCCCCOC)=O)=O)=O)=O|453.15|8.259|,0.04763
