Augmented_SMILES,SD
CC(C#N)CC.C(=O)(CC)C,0.3
C(#N)C(C)CC.CC(CC)=O,0.3
C(CC)(C)C#N.C(C)(CC)=O,0.3
C(C)(CC)C#N.C(C)C(C)=O,0.3
CCC(C#N)C.CCC(C)=O,0.3
C(C)C(C)C#N.C(C)(=O)CC,0.3
N#CC(CC)C.C(C(=O)C)C,0.3
N#CC(C)CC.C(CC)(C)=O,0.3
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCC(=O)C,11.79
O=S(c1ccc(cc1)C)(=O)c1ccc(OC)cc1.C(CC)(C)=O,11.79
c1cc(ccc1OC)S(=O)(c1ccc(C)cc1)=O.C(=O)(C)CC,11.79
Cc1ccc(S(=O)(c2ccc(cc2)OC)=O)cc1.O=C(CC)C,11.79
c1cc(ccc1C)S(=O)(c1ccc(OC)cc1)=O.CC(=O)CC,11.79
c1(S(=O)(c2ccc(C)cc2)=O)ccc(cc1)OC.O=C(C)CC,11.79
c1c(C)ccc(c1)S(=O)(=O)c1ccc(cc1)OC.CCC(C)=O,11.79
O=S(=O)(c1ccc(cc1)OC)c1ccc(C)cc1.CC(CC)=O,11.79
c1c(ccc(c1)S(=O)(c1ccc(C)cc1)=O)OC.C(=O)(CC)C,11.79
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCC(=O)C,11.17
c1cc(ccc1S(c1ccc(cc1)Oc1ccc(C(C)(c2ccc(C)cc2)C)cc1)(=O)=O)OC.C(C)C(C)=O,11.17
c1c(Oc2ccc(cc2)C(c2ccc(C)cc2)(C)C)ccc(c1)S(=O)(c1ccc(OC)cc1)=O.C(CC)(C)=O,11.17
c1c(OC)ccc(c1)S(c1ccc(Oc2ccc(C(C)(C)c3ccc(C)cc3)cc2)cc1)(=O)=O.O=C(C)CC,11.17
c1cc(S(=O)(c2ccc(cc2)OC)=O)ccc1Oc1ccc(cc1)C(C)(C)c1ccc(C)cc1.CCC(C)=O,11.17
c1(Oc2ccc(S(=O)(=O)c3ccc(cc3)OC)cc2)ccc(cc1)C(C)(C)c1ccc(C)cc1.C(C(=O)C)C,11.17
c1(ccc(cc1)C(C)(C)c1ccc(Oc2ccc(cc2)S(=O)(c2ccc(OC)cc2)=O)cc1)C.C(C)(CC)=O,11.17
c1cc(S(=O)(c2ccc(OC)cc2)=O)ccc1Oc1ccc(cc1)C(c1ccc(C)cc1)(C)C.CC(CC)=O,11.17
c1(ccc(S(=O)(c2ccc(OC)cc2)=O)cc1)Oc1ccc(C(C)(c2ccc(cc2)C)C)cc1.CC(=O)CC,11.17
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CCC(=O)C,5.43
c1(Cc2ccc(C)cc2)ccc(cc1)-c1ccc(c(c1)C)N1C(=O)c2c(cc(C(=O)c3cc4C(N(C(=O)c4cc3)C)=O)cc2)C1=O.C(C)(=O)CC,5.43
C(=O)(c1cc2C(N(C)C(=O)c2cc1)=O)c1ccc2c(c1)C(=O)N(c1ccc(cc1C)-c1ccc(cc1)Cc1ccc(cc1)C)C2=O.C(C)C(=O)C,5.43
O=C1N(c2ccc(-c3ccc(Cc4ccc(cc4)C)cc3)cc2C)C(c2c1ccc(C(c1ccc3c(c1)C(=O)N(C)C3=O)=O)c2)=O.C(CC)(C)=O,5.43
C1(c2c(ccc(c2)C(=O)c2cc3c(cc2)C(=O)N(C)C3=O)C(N1c1c(cc(cc1)-c1ccc(cc1)Cc1ccc(cc1)C)C)=O)=O.CC(CC)=O,5.43
c1(ccc(Cc2ccc(cc2)C)cc1)-c1cc(C)c(N2C(c3c(ccc(C(=O)c4cc5C(=O)N(C)C(=O)c5cc4)c3)C2=O)=O)cc1.CCC(C)=O,5.43
Cc1c(ccc(c1)-c1ccc(Cc2ccc(C)cc2)cc1)N1C(=O)c2c(C1=O)ccc(c2)C(c1cc2c(cc1)C(N(C2=O)C)=O)=O.C(C)C(C)=O,5.43
c1c(cc(c(c1)N1C(=O)c2cc(ccc2C1=O)C(=O)c1ccc2C(N(C)C(c2c1)=O)=O)C)-c1ccc(cc1)Cc1ccc(C)cc1.O=C(C)CC,5.43
c1c(C(=O)c2ccc3c(c2)C(N(c2ccc(-c4ccc(Cc5ccc(cc5)C)cc4)cc2C)C3=O)=O)ccc2c1C(=O)N(C)C2=O.C(=O)(CC)C,5.43
